unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
178506,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Annual Average 2011,2010-12-01,13.27
315596,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,107,Hunts Point - Mott Haven,2011,2011-01-01,1.4
334136,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2015,2015-06-01,10.46
211767,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208,Canarsie - Flatlands,Annual Average 2014,2013-12-01,17.0
602818,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Winter 2017-18,2017-12-01,22.6
178603,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409,Southeast Queens,Annual Average 2013,2012-12-01,7.85
336721,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Annual Average 2015,2015-01-01,26.7
826367,375,Nitrogen dioxide (NO2),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),Annual Average 2022,2022-01-01,15.33439746
334359,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Winter 2014-15,2014-12-01,8.06
179750,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2015,2015-01-01,72.2
336805,375,Nitrogen dioxide (NO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Annual Average 2015,2015-01-01,18.71
171673,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Winter 2011-12,2011-12-01,21.83
154564,643,Annual vehicle miles traveled,Million miles,per square mile,CD,105,Midtown (CD5),2005,2005-01-01,138.131564
165960,375,Nitrogen dioxide (NO2),Mean,ppb,CD,403,Jackson Heights (CD3),Winter 2011-12,2011-12-01,25.55
670964,386,Ozone (O3),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2020,2020-06-01,29.84
827068,386,Ozone (O3),Mean,ppb,UHF34,301,Washington Heights,Summer 2022,2022-06-01,29.85364772
825728,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Winter 2021-22,2021-12-01,26.81178899
605281,386,Ozone (O3),Mean,ppb,UHF34,206,Borough Park,Summer 2018,2018-06-01,30.44
649878,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Winter 2018-19,2018-12-01,9.83
167583,375,Nitrogen dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Annual Average 2010,2009-12-01,26.64
741076,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Winter 2020-21,2020-12-01,23.0691479
151683,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,206,Borough Park,2005,2005-01-01,54.87405
547420,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2017,2017-01-01,8.22
825969,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Annual Average 2022,2022-01-01,15.34528147
549361,386,Ozone (O3),Mean,ppb,UHF42,407,Southwest Queens,Summer 2017,2017-06-01,31.16
741040,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Winter 2020-21,2020-12-01,22.24045642
172071,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Summer 2009,2009-06-01,21.15
667849,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2020,2020-01-01,10.47
628426,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,410,Rockaways,2015-2017,2015-01-01,50.2
177963,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2013,2013-06-01,11.46
174131,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,405,Ridgewood - Forest Hills,Annual Average 2009,2008-12-01,10.44
649743,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Winter 2018-19,2018-12-01,10.08
176625,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,405,Ridgewood - Forest Hills,Annual Average 2011,2010-12-01,23.26
817129,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,Borough,1,Bronx,2010,2010-01-01,4.207102
667039,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,Manhattan,Annual Average 2020,2020-01-01,20.54
741277,375,Nitrogen dioxide (NO2),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Winter 2020-21,2020-12-01,21.06478607
874838,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,406,Rego Park and Forest Hills (CD6),Winter 2022-23,2022-12-01,6.099401253
151711,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,503,Willowbrook,2005,2005-01-01,24.952949
649984,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Annual Average 2019,2019-01-01,7.37
828156,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Borough,5,Staten Island,2017-2019,2017-01-01,7.0
547705,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,Borough Park (CD12),Annual Average 2017,2017-01-01,7.29
169523,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2013,2013-06-01,10.78
172094,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Summer 2009,2009-06-01,16.05
179357,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5,Staten Island,Summer 2011,2011-06-01,11.57
333956,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,102,Northeast Bronx,Summer 2015,2015-06-01,9.73
130517,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,2013-01-01,284.7
816834,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,406,Fresh Meadows,2010,2010-01-01,95.509803
168649,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Winter 2012-13,2012-12-01,11.32
151545,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,301,Washington Heights,2009-2011,2009-01-01,18.3
214125,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,206,Belmont and East Tremont (CD6),Annual Average 2014,2013-12-01,9.56
175382,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Winter 2011-12,2011-12-01,26.94
169289,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,111,East Harlem (CD11),Summer 2009,2009-06-01,11.48
212321,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Winter 2013-14,2013-12-01,25.08
336525,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,205,Sunset Park,Winter 2014-15,2014-12-01,25.37
169466,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,111,East Harlem (CD11),Summer 2012,2012-06-01,10.99
874876,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01,9.278967207
167628,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Annual Average 2011,2010-12-01,32.3
154480,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,315,Sheepshead Bay (CD15),2005,2005-01-01,2.209208
170298,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205,Fordham and University Heights (CD5),Annual Average 2011,2010-12-01,11.71
176530,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Annual Average 2009,2008-12-01,31.95
179136,375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Annual Average 2012,2011-12-01,19.58
823423,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,207,East Flatbush - Flatbush,Annual Average 2022,2022-01-01,5.640862065
178418,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,302,Central Harlem - Morningside Heights,Annual Average 2009,2008-12-01,11.6
816741,643,Annual vehicle miles traveled,Million miles,per square mile,CD,313,Coney Island (CD13),2019,2019-01-01,41.003666
166875,375,Nitrogen dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2013,2013-06-01,20.19
643660,375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Annual Average 2019,2019-01-01,15.8
649941,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Winter 2018-19,2018-12-01,7.89
172122,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Summer 2010,2010-06-01,20.91
550066,375,Nitrogen dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2017,2017-06-01,17.33
827416,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,205,Sunset Park,2017-2019,2017-01-01,18.0
130720,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,408,Jamaica,2005,2005-01-01,1.8
213614,375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Annual Average 2014,2013-12-01,20.0
173734,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107,South Bronx,Summer 2012,2012-06-01,11.02
550154,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2017,2017-01-01,16.49
825815,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Annual Average 2022,2022-01-01,16.91717916
799795,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,305,Upper East Side,2014,2014-01-01,1.048126153
177180,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504,South Beach - Tottenville,Winter 2008-09,2008-12-01,11.62
130734,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,102,Northeast Bronx,2005,2005-01-01,3.2
174265,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402,West Queens,Annual Average 2013,2012-12-01,9.13
816931,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,104,Pelham - Throgs Neck,2010,2010-01-01,54.570977
628413,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2015-2017,2015-01-01,35.7
170423,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Annual Average 2013,2012-12-01,8.66
216318,386,Ozone (O3),Mean,ppb,CD,107,Upper West Side (CD7),Summer 2013,2013-06-01,26.92
222490,386,Ozone (O3),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2014,2014-06-01,33.25
166747,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2011,2011-06-01,34.67
628456,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,302,Central Harlem - Morningside Heights,2015-2017,2015-01-01,193.1
172638,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Annual Average 2010,2009-12-01,19.1
227511,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,CD,103,Lower East Side and Chinatown (CD3),2011,2011-01-01,2.5
171611,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304,Upper West Side,Winter 2009-10,2009-12-01,30.23
628440,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,104,Pelham - Throgs Neck,2015-2017,2015-01-01,105.2
410970,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Summer 2016,2016-06-01,9.86
173690,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,407,Southwest Queens,Summer 2011,2011-06-01,11.03
649760,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,405,Ridgewood - Forest Hills,Summer 2019,2019-06-01,7.91
549777,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Winter 2016-17,2016-12-01,27.97
336722,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Summer 2015,2015-06-01,23.01
177316,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,Winter 2012-13,2012-12-01,10.35
172104,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Summer 2010,2010-06-01,17.86
131509,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,2009-2011,2009-01-01,20.5
799820,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,106,High Bridge - Morrisania,2014,2014-01-01,1.727340714
549825,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Winter 2016-17,2016-12-01,28.64
669580,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,111,East Harlem (CD11),Winter 2019-20,2019-12-01,7.82
172731,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2013,2012-12-01,25.36
547366,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Annual Average 2017,2017-01-01,6.81
216398,386,Ozone (O3),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Summer 2009,2009-06-01,25.56
172585,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2009,2008-12-01,26.93
602966,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Annual Average 2018,2018-01-01,19.34
547724,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,318,Flatlands and Canarsie (CD18),Winter 2016-17,2016-12-01,7.58
211778,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Annual Average 2014,2013-12-01,20.0
211885,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307,Upper East Side-Gramercy,Winter 2013-14,2013-12-01,15.35
167677,375,Nitrogen dioxide (NO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Annual Average 2011,2010-12-01,23.3
172669,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Annual Average 2011,2010-12-01,23.26
667483,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2020,2020-01-01,20.27
547761,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Summer 2017,2017-06-01,8.36
823399,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,304,Upper West Side,Annual Average 2022,2022-01-01,6.111714175
743700,386,Ozone (O3),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2021,2021-06-01,28.28720155
410953,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,2015-12-31,6.94
169298,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Summer 2009,2009-06-01,10.38
827522,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,409,Southeast Queens,2017-2019,2017-01-01,6.0
651056,386,Ozone (O3),Mean,ppb,CD,502,South Beach and Willowbrook (CD2),Summer 2019,2019-06-01,29.51
212315,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Winter 2013-14,2013-12-01,33.98
169351,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,202,Hunts Point and Longwood (CD2),Summer 2010,2010-06-01,12.85
176535,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Annual Average 2009,2008-12-01,32.71
175880,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102,Northeast Bronx,Summer 2009,2009-06-01,17.94
823395,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402,West Queens,Winter 2021-22,2021-12-01,7.128130858
816836,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,405,Ridgewood - Forest Hills,2010,2010-01-01,70.571653
874391,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Winter 2022-23,2022-12-01,6.105061444
650004,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Winter 2018-19,2018-12-01,6.61
171623,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2009-10,2009-12-01,23.79
336676,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Annual Average 2015,2015-01-01,21.11
643353,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,205,Sunset Park,Winter 2018-19,2018-12-01,23.31
827057,386,Ozone (O3),Mean,ppb,UHF34,410,Rockaways,Summer 2022,2022-06-01,37.50032276
602779,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Winter 2017-18,2017-12-01,29.62
823165,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Annual Average 2022,2022-01-01,6.038090123
154551,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,409,Kew Gardens and Woodhaven (CD9),2005,2005-01-01,43.754236
670911,386,Ozone (O3),Mean,ppb,UHF34,410,Rockaways,Summer 2020,2020-06-01,31.49
170280,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,502,South Beach and Willowbrook (CD2),Annual Average 2010,2009-12-01,8.8
212940,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,303,East Harlem,Annual Average 2014,2013-12-01,9.84
131502,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",Borough,1,Bronx,2009-2011,2009-01-01,18.8
336591,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,406,Fresh Meadows,Winter 2014-15,2014-12-01,23.98
412544,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502,Stapleton - St. George,Winter 2015-16,2015-12-01,19.35
178480,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,502,Stapleton - St. George,Annual Average 2010,2009-12-01,8.64
671112,386,Ozone (O3),Mean,ppb,CD,312,Borough Park (CD12),Summer 2020,2020-06-01,29.34
315612,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,305,Upper East Side,2011,2011-01-01,2.5
874906,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Summer 2023,2023-06-01,9.15830274
169535,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Summer 2013,2013-06-01,10.37
740918,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2021,2021-06-01,14.560836
628970,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,106,High Bridge - Morrisania,2015-2017,2015-01-01,39.4
817203,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,405,Ridgewood - Forest Hills,2010,2010-01-01,1.420697
336489,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5,Staten Island,Winter 2014-15,2014-12-01,19.75
628887,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,301,Washington Heights,2015-2017,2015-01-01,99.8
174125,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2009,2008-12-01,11.6
877141,375,Nitrogen dioxide (NO2),Mean,ppb,CD,205,Fordham and University Heights (CD5),Winter 2022-23,2022-12-01,21.78102218
336624,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Winter 2014-15,2014-12-01,23.33
643382,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Summer 2019,2019-06-01,18.84
175297,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Winter 2009-10,2009-12-01,26.48
336541,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2015,2015-01-01,21.27
649954,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Annual Average 2019,2019-01-01,6.81
336823,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Annual Average 2015,2015-01-01,19.1
741286,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Winter 2020-21,2020-12-01,20.08999115
212449,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,406,Fresh Meadows,Summer 2014,2014-06-01,14.13
669581,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,111,East Harlem (CD11),Summer 2020,2020-06-01,7.29
628430,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,504,South Beach - Tottenville,2015-2017,2015-01-01,45.9
165974,375,Nitrogen dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),Winter 2011-12,2011-12-01,15.98
606068,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Annual Average 2018,2018-01-01,6.19
221937,386,Ozone (O3),Mean,ppb,UHF34,408,Jamaica,Summer 2013,2013-06-01,31.12
336612,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,503,Willowbrook,Winter 2014-15,2014-12-01,19.93
175929,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2010,2010-06-01,22.6
605282,386,Ozone (O3),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Summer 2018,2018-06-01,30.95
213280,375,Nitrogen dioxide (NO2),Mean,ppb,CD,502,South Beach and Willowbrook (CD2),Winter 2013-14,2013-12-01,21.46
211572,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Winter 2013-14,2013-12-01,29.51
649666,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,102,Northeast Bronx,Annual Average 2019,2019-01-01,6.68
151596,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,304,Upper West Side,2009-2011,2009-01-01,2.8
165843,375,Nitrogen dioxide (NO2),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Winter 2009-10,2009-12-01,28.7
742170,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,103,Fordham - Bronx Pk,Annual Average 2021,2021-01-01,6.58259927
743599,386,Ozone (O3),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2021,2021-06-01,31.09074581
823492,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Summer 2022,2022-06-01,6.695717506
172703,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Annual Average 2012,2011-12-01,20.99
628942,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2015-2017,2015-01-01,8.6
817204,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,405,Ridgewood - Forest Hills,2019,2019-01-01,2.043201
602753,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2018,2018-01-01,20.95
213598,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Annual Average 2014,2013-12-01,18.54
165808,375,Nitrogen dioxide (NO2),Mean,ppb,CD,111,East Harlem (CD11),Winter 2009-10,2009-12-01,28.97
213981,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2014,2014-06-01,8.28
518887,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Borough,5,Staten Island,2012-2014,2012-01-02,45.43464648
827043,386,Ozone (O3),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2022,2022-06-01,29.67289705
222521,386,Ozone (O3),Mean,ppb,UHF42,303,East Harlem,Summer 2009,2009-06-01,22.84
643574,375,Nitrogen dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2019,2019-06-01,16.34
168677,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,406,Rego Park and Forest Hills (CD6),Winter 2012-13,2012-12-01,10.25
649801,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Annual Average 2019,2019-01-01,8.56
649702,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,207,East Flatbush - Flatbush,Annual Average 2019,2019-01-01,6.31
166844,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Summer 2012,2012-06-01,18.71
518547,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,1,Bronx,2012-2014,2012-01-02,102.8
628883,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,208,Canarsie - Flatlands,2015-2017,2015-01-01,88.9
628980,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,209,Bensonhurst - Bay Ridge,2015-2017,2015-01-01,4.7
151494,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2009-2011,2009-01-01,13.7
168523,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),Winter 2010-11,2010-12-01,14.63
151715,644,Annual vehicle miles traveled (cars),Million miles,per square mile,Borough,2,Brooklyn,2005,2005-01-01,52.777419
178522,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,502,Stapleton - St. George,Annual Average 2011,2010-12-01,9.36
410901,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210,Coney Island - Sheepshead Bay,Summer 2016,2016-06-01,7.66
410929,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,405,Ridgewood - Forest Hills,Annual Average 2016,2015-12-31,7.56
179507,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Winter 2010-11,2010-12-01,11.68
336539,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2015,2015-06-01,11.07
629156,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Borough,5,Staten Island,2015-2017,2015-01-01,7.5
166701,375,Nitrogen dioxide (NO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2010,2010-06-01,21.48
173116,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307,Upper East Side-Gramercy,Winter 2008-09,2008-12-01,16.38
176675,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,503,Willowbrook,Annual Average 2012,2011-12-01,15.31
216443,386,Ozone (O3),Mean,ppb,CD,304,Bushwick (CD4),Summer 2012,2012-06-01,32.9
